"Facility RPA","Facility Sub Region","Facility WPA","Facility District","Permit","Site Name","Operator","Permit Type","Easting","Northing","Post Code","Form","Basic Waste Cat","EWC Chapter","EWC Sub Chapter","EWC Waste Desc","Waste Code","Site Category","Facility Type","Recorded Destination","Destination WPA","Destination Region","Fate","R and D code","Tonnes Removed","SOC Category","SOC Sub Category"
"East of England","Suffolk","Suffolk","Mid Suffolk","70796","Safetykleen U K","Safety Kleen U K Ltd","A9 : Hazardous Waste Transfer Station",600209,264846,"IP30 9HN","Solid","Hazardous","20 - MUNICIPAL WASTES","Separately collected fractions (except 15 01)","fluorescent tubes and other mercury-containing waste","20 01 21*","Transfer","Haz Waste Transfer","Hinckley and Bosworth","Leicestershire","East Midlands","Recovery","R04",3.05,"08 - Discarded equipment","Discarded machines and equipment components"
"East of England","Suffolk","Suffolk","Mid Suffolk","70796","Safetykleen U K","Safety Kleen U K Ltd","A9 : Hazardous Waste Transfer Station",600209,264846,"IP30 9HN","Solid","Hazardous","20 - MUNICIPAL WASTES","Separately collected fractions (except 15 01)","batteries and accumulators included in 16 06 01, 16 06 02 or 16 06 03 and unsorted batteries and accumulators containing these batteries","20 01 33*","Transfer","Haz Waste Transfer","Hinckley and Bosworth","Leicestershire","East Midlands","Recovery","R04",0.047,"08 - Discarded equipment","Discarded machines and equipment components"
"East of England","Suffolk","Suffolk","Mid Suffolk","70796","Safetykleen U K","Safety Kleen U K Ltd","A9 : Hazardous Waste Transfer Station",600209,264846,"IP30 9HN","Solid","Hazardous","20 - MUNICIPAL WASTES","Separately collected fractions (except 15 01)","discarded electrical and electronic equipment other than those mentioned in 20 01 21 and 20 01 23 containing hazardous components ( 6 )","20 01 35*","Transfer","Haz Waste Transfer","Hinckley and Bosworth","Leicestershire","East Midlands","Recovery","R04",3.335,"08 - Discarded equipment","Discarded electrical and electronic equipment"
"East of England","Suffolk","Suffolk","Mid Suffolk","70796","Safetykleen U K","Safety Kleen U K Ltd","A9 : Hazardous Waste Transfer Station",600209,264846,"IP30 9HN","Liquid","Hhold/Ind/Com","20 - MUNICIPAL WASTES","Separately collected fractions (except 15 01)","edible oil and fat","20 01 25","Transfer","Haz Waste Transfer","Hinckley and Bosworth","Leicestershire","East Midlands","Incineration","R01",0.225,"09 - Animal and vegetal wastes","Waste of food preparation and products"
"East of England","Suffolk","Suffolk","Mid Suffolk","70796","Safetykleen U K","Safety Kleen U K Ltd","A9 : Hazardous Waste Transfer Station",600209,264846,"IP30 9HN","User left blank","Hazardous","16 - WASTES NOT OTHERWISE SPECIFIED IN THE LIST","Off-specification batches and unused products","organic wastes containing dangerous substances","16 03 05*","Transfer","Haz Waste Transfer","Hinckley and Bosworth","Leicestershire","East Midlands","Incineration","R01",0.2,"10 - Mixed ordinary wastes","Mixed and undifferentiated materials"
"East of England","Suffolk","Suffolk","Mid Suffolk","70796","Safetykleen U K","Safety Kleen U K Ltd","A9 : Hazardous Waste Transfer Station",600209,264846,"IP30 9HN","Powder","Hazardous","16 - WASTES NOT OTHERWISE SPECIFIED IN THE LIST","Off-specification batches and unused products","organic wastes containing dangerous substances","16 03 05*","Transfer","Haz Waste Transfer","Hinckley and Bosworth","Leicestershire","East Midlands","Incineration","R01",0.3,"10 - Mixed ordinary wastes","Mixed and undifferentiated materials"
"East of England","Suffolk","Suffolk","Mid Suffolk","70796","Safetykleen U K","Safety Kleen U K Ltd","A9 : Hazardous Waste Transfer Station",600209,264846,"IP30 9HN","Liquid","Hazardous","16 - WASTES NOT OTHERWISE SPECIFIED IN THE LIST","Off-specification batches and unused products","organic wastes containing dangerous substances","16 03 05*","Transfer","Haz Waste Transfer","Hinckley and Bosworth","Leicestershire","East Midlands","Incineration","R01",0.42,"10 - Mixed ordinary wastes","Mixed and undifferentiated materials"
"East of England","Suffolk","Suffolk","Mid Suffolk","70796","Safetykleen U K","Safety Kleen U K Ltd","A9 : Hazardous Waste Transfer Station",600209,264846,"IP30 9HN","Solid","Hazardous","16 - WASTES NOT OTHERWISE SPECIFIED IN THE LIST","Off-specification batches and unused products","organic wastes containing dangerous substances","16 03 05*","Transfer","Haz Waste Transfer","Hinckley and Bosworth","Leicestershire","East Midlands","Incineration","R01",0.01,"10 - Mixed ordinary wastes","Mixed and undifferentiated materials"
"East of England","Suffolk","Suffolk","Mid Suffolk","70796","Safetykleen U K","Safety Kleen U K Ltd","A9 : Hazardous Waste Transfer Station",600209,264846,"IP30 9HN","Liquid","Hhold/Ind/Com","16 - WASTES NOT OTHERWISE SPECIFIED IN THE LIST","Off-specification batches and unused products","organic wastes other than those mentioned in 16 03 05","16 03 06","Transfer","Haz Waste Transfer","Hinckley and Bosworth","Leicestershire","East Midlands","Incineration","R01",0.215,"10 - Mixed ordinary wastes","Mixed and undifferentiated materials"
"East of England","Suffolk","Suffolk","Mid Suffolk","70796","Safetykleen U K","Safety Kleen U K Ltd","A9 : Hazardous Waste Transfer Station",600209,264846,"IP30 9HN","Liquid","Hazardous","16 - WASTES NOT OTHERWISE SPECIFIED IN THE LIST","Gases in pressure containers and discarded chemicals","discarded organic chemicals consisting of or containing dangerous substances","16 05 08*","Transfer","Haz Waste Transfer","Hinckley and Bosworth","Leicestershire","East Midlands","Incineration","R01",3.21,"10 - Mixed ordinary wastes","Mixed and undifferentiated materials"
"East of England","Suffolk","Suffolk","Mid Suffolk","70796","Safetykleen U K","Safety Kleen U K Ltd","A9 : Hazardous Waste Transfer Station",600209,264846,"IP30 9HN","Liquid","Hhold/Ind/Com","16 - WASTES NOT OTHERWISE SPECIFIED IN THE LIST","Gases in pressure containers and discarded chemicals","discarded chemicals other than those mentioned in 16 05 06, 16 05 07 or 16 05 08","16 05 09","Transfer","Haz Waste Transfer","Hinckley and Bosworth","Leicestershire","East Midlands","Incineration","R01",0.57,"10 - Mixed ordinary wastes","Mixed and undifferentiated materials"
"East of England","Suffolk","Suffolk","Mid Suffolk","70796","Safetykleen U K","Safety Kleen U K Ltd","A9 : Hazardous Waste Transfer Station",600209,264846,"IP30 9HN","Liquid","Hazardous","15 - PACKAGING, ABSORBENTS , WIPING CLOTHS ETC N.O.S.","Packaging (including separately collected municipal packaging waste)","packaging containing residues of or contaminated by dangerous substances","15 01 10*","Transfer","Haz Waste Transfer","Hinckley and Bosworth","Leicestershire","East Midlands","Recovery","R03",0.025,"10 - Mixed ordinary wastes","Mixed and undifferentiated materials"
"East of England","Suffolk","Suffolk","Mid Suffolk","70796","Safetykleen U K","Safety Kleen U K Ltd","A9 : Hazardous Waste Transfer Station",600209,264846,"IP30 9HN","Solid","Hazardous","15 - PACKAGING, ABSORBENTS , WIPING CLOTHS ETC N.O.S.","Packaging (including separately collected municipal packaging waste)","packaging containing residues of or contaminated by dangerous substances","15 01 10*","Transfer","Haz Waste Transfer","Hinckley and Bosworth","Leicestershire","East Midlands","Recovery","R03",0.332,"10 - Mixed ordinary wastes","Mixed and undifferentiated materials"
"East of England","Suffolk","Suffolk","Mid Suffolk","70796","Safetykleen U K","Safety Kleen U K Ltd","A9 : Hazardous Waste Transfer Station",600209,264846,"IP30 9HN","User left blank","Hazardous","15 - PACKAGING, ABSORBENTS , WIPING CLOTHS ETC N.O.S.","Packaging (including separately collected municipal packaging waste)","packaging containing residues of or contaminated by dangerous substances","15 01 10*","Transfer","Haz Waste Transfer","Hinckley and Bosworth","Leicestershire","East Midlands","Recovery","R03",21.265,"10 - Mixed ordinary wastes","Mixed and undifferentiated materials"
"East of England","Suffolk","Suffolk","Mid Suffolk","70796","Safetykleen U K","Safety Kleen U K Ltd","A9 : Hazardous Waste Transfer Station",600209,264846,"IP30 9HN","Solid","Hhold/Ind/Com","16 - WASTES NOT OTHERWISE SPECIFIED IN THE LIST","Off-specification batches and unused products","inorganic wastes other than those mentioned in 16 03 03","16 03 04","Transfer","Haz Waste Transfer","Hinckley and Bosworth","Leicestershire","East Midlands","Recovery","R05",0.12,"10 - Mixed ordinary wastes","Mixed and undifferentiated materials"
"East of England","Suffolk","Suffolk","Mid Suffolk","70796","Safetykleen U K","Safety Kleen U K Ltd","A9 : Hazardous Waste Transfer Station",600209,264846,"IP30 9HN","Powder","Hazardous","16 - WASTES NOT OTHERWISE SPECIFIED IN THE LIST","Gases in pressure containers and discarded chemicals","discarded inorganic chemicals consisting of or containing dangerous substances","16 05 07*","Transfer","Haz Waste Transfer","Hinckley and Bosworth","Leicestershire","East Midlands","Treatment","D09",0.8,"10 - Mixed ordinary wastes","Mixed and undifferentiated materials"
"East of England","Suffolk","Suffolk","Mid Suffolk","70796","Safetykleen U K","Safety Kleen U K Ltd","A9 : Hazardous Waste Transfer Station",600209,264846,"IP30 9HN","Liquid","Hazardous","16 - WASTES NOT OTHERWISE SPECIFIED IN THE LIST","Gases in pressure containers and discarded chemicals","discarded inorganic chemicals consisting of or containing dangerous substances","16 05 07*","Transfer","Haz Waste Transfer","Hinckley and Bosworth","Leicestershire","East Midlands","Treatment","D09",0.8,"10 - Mixed ordinary wastes","Mixed and undifferentiated materials"
"East of England","Suffolk","Suffolk","Mid Suffolk","70796","Safetykleen U K","Safety Kleen U K Ltd","A9 : Hazardous Waste Transfer Station",600209,264846,"IP30 9HN","Liquid","Hazardous","17 - CONSTRUCTION AND DEMOLITION WASTES","Bituminous mixtures - coal tar and tarred products","bituminous mixtures containing coal tar","17 03 01*","Transfer","Haz Waste Transfer","Hinckley and Bosworth","Leicestershire","East Midlands","Incineration","R01",0.2,"12 - Mineral wastes","Construction and demolition wastes"
"East of England","Suffolk","Suffolk","West Suffolk","75221","Old Chicory Factory","Murfitts Industries Ltd","A15 : Material Recycling Treatment Facility",572480,286380,"IP27 9AD","Solid","Hhold/Ind/Com","19 - WASTE AND WATER TREATMENT WASTES","Mechanical treatment of waste (for example sorting - crushing - compacting - pelletising) not otherwise specified","ferrous metal","19 12 02","Treatment","Material Recycling Facility","Leicestershire","Leicestershire","East Midlands","Recovery","R04",651.38,"06 - Metallic wastes","Ferrous metal waste and scrap"
"East of England","Suffolk","Suffolk","West Suffolk","75221","Old Chicory Factory","Murfitts Industries Ltd","A15 : Material Recycling Treatment Facility",572480,286380,"IP27 9AD","Solid","Hhold/Ind/Com","16 - WASTES NOT OTHERWISE SPECIFIED IN THE LIST","End-of-life vehicles from different means of transport (including off-road machinery) and wastes from dismantling of end-of-life vehicles and vehicle maintenance (except 13 - 14 - 16 06 and 16 08)","end-of-life tyres","16 01 03","Treatment","Material Recycling Facility","Leicestershire","Leicestershire","East Midlands","Landfill","D05",69.86,"07 - Non-metallic wastes","Rubber wastes"
"East of England","Suffolk","Suffolk","Mid Suffolk","71095","Masons Material Reclamation Facility","Viridor Waste Management Limited","A15 : Material Recycling Treatment Facility",611500,250000,"IP6 0NW","Solid","Hhold/Ind/Com","19 - WASTE AND WATER TREATMENT WASTES","Mechanical treatment of waste (for example sorting - crushing - compacting - pelletising) not otherwise specified","plastic and rubber","19 12 04","Treatment","Material Recycling Facility","Leicestershire","Leicestershire","East Midlands","Recovery","R03",180.66,"07 - Non-metallic wastes","Plastic wastes"
"East of England","Suffolk","Suffolk","Mid Suffolk","100175","Debtrac Centre","Sackers Limited","A11 : Household, Commercial & Industrial  Waste Transfer Stn",609700,254010,"IP6 8DJ","Solid","Hhold/Ind/Com","19 - WASTE AND WATER TREATMENT WASTES","Mechanical treatment of waste (for example sorting - crushing - compacting - pelletising) not otherwise specified","other wastes (including mixtures of materials) from mechanical treatment of wastes other than those mentioned in 19 12 11","19 12 12","Transfer","Non-Haz Waste Transfer","Leicestershire","Leicestershire","East Midlands","Recovery","R05",19.12,"10 - Mixed ordinary wastes","Sorting residues"
"East of England","Suffolk","Suffolk","East Suffolk","71416","B & B Skip Hire","B & B Skip Hire Limited","A9 : Hazardous Waste Transfer Station",645144,288505,"NR34 7TL","Solid","Hhold/Ind/Com","19 - WASTE AND WATER TREATMENT WASTES","Mechanical treatment of waste (for example sorting - crushing - compacting - pelletising) not otherwise specified","wood other than that mentioned in 19 12 06","19 12 07","Transfer","Haz Waste Transfer","Leicestershire","Leicestershire","East Midlands","Recovery","R13",18.74,"07 - Non-metallic wastes","Wood wastes"
"East of England","Suffolk","Suffolk","West Suffolk","100301","The Carrops","Scrapco Metal Recycling Ltd","A19 : Metal Recycling Site (Vehicle Dismantler)",569597,269526,"IP28 8LD","Solid","Hhold/Ind/Com","16 - WASTES NOT OTHERWISE SPECIFIED IN THE LIST","End-of-life vehicles from different means of transport (including off-road machinery) and wastes from dismantling of end-of-life vehicles and vehicle maintenance (except 13 - 14 - 16 06 and 16 08)","ferrous metal","16 01 17","MRS","Car Breaker","Lincolnshire","Lincolnshire","East Midlands","Recovery","R04",101.44,"06 - Metallic wastes","Ferrous metal waste and scrap"
"East of England","Suffolk","Suffolk","West Suffolk","100301","The Carrops","Scrapco Metal Recycling Ltd","A19 : Metal Recycling Site (Vehicle Dismantler)",569597,269526,"IP28 8LD","Solid","Inert/C+D","17 - CONSTRUCTION AND DEMOLITION WASTES","Metals (including their alloys)","aluminium","17 04 02","MRS","Car Breaker","Lincolnshire","Lincolnshire","East Midlands","Recovery","R04",327.31,"06 - Metallic wastes","Non-ferrous metal waste and scrap"
"East of England","Suffolk","Suffolk","West Suffolk","100301","The Carrops","Scrapco Metal Recycling Ltd","A19 : Metal Recycling Site (Vehicle Dismantler)",569597,269526,"IP28 8LD","Solid","Inert/C+D","17 - CONSTRUCTION AND DEMOLITION WASTES","Metals (including their alloys)","iron and steel","17 04 05","MRS","Car Breaker","Lincolnshire","Lincolnshire","East Midlands","Recovery","R04",79.92,"06 - Metallic wastes","Ferrous metal waste and scrap"
"East of England","Suffolk","Suffolk","West Suffolk","100301","The Carrops","Scrapco Metal Recycling Ltd","A19 : Metal Recycling Site (Vehicle Dismantler)",569597,269526,"IP28 8LD","Solid","Inert/C+D","17 - CONSTRUCTION AND DEMOLITION WASTES","Metals (including their alloys)","mixed metals","17 04 07","MRS","Car Breaker","Lincolnshire","Lincolnshire","East Midlands","Recovery","R04",267.64,"06 - Metallic wastes","Mixed metal wastes"
"East of England","Suffolk","Suffolk","Ipswich","100311","Cliff Quay Waste Water Treatment Works","Anglian Water Services Limited","A17 : Physico-Chemical Treatment Facility",617319,242014,"IP3 0ET","Solid","Hhold/Ind/Com","19 - WASTE AND WATER TREATMENT WASTES","Waste water treatment plants not otherwise specified","sludges from treatment of urban waste water","19 08 05","Treatment","Physical-Chemical Treatment","Lincolnshire","Lincolnshire","East Midlands","Recovery","R10",973.86,"11 - Common sludges","Waste water treatment sludges"
"East of England","Suffolk","Suffolk","West Suffolk","404549","N 2 S Ltd","Network 2 Supplies Limited","S1515 No 15: 75kte WEEE Treatment Facility",583623,264801,"IP33 3SP","Solid","Hhold/Ind/Com","20 - MUNICIPAL WASTES","Separately collected fractions (except 15 01)","discarded electrical and electronic equipment other than those mentioned in 20 01 21, 20 01 23 and 20 01 35","20 01 36","Treatment","WEEE treatment facility","Lincolnshire","Lincolnshire","East Midlands","Recovery","R04",22.371,"08 - Discarded equipment","Discarded electrical and electronic equipment"
"East of England","Suffolk","Suffolk","Mid Suffolk","RP3432WF","Sacker's Metal Recycling Facility EPR/RP3432WF","Sackers Limited","TM1 : Metal Recycling installation",612320,250360,"IP6 0JB","Solid","Hhold/Ind/Com","16 - WASTES NOT OTHERWISE SPECIFIED IN THE LIST","End-of-life vehicles from different means of transport (including off-road machinery) and wastes from dismantling of end-of-life vehicles and vehicle maintenance (except 13 - 14 - 16 06 and 16 08)","non-ferrous metal","16 01 18","MRS","Metal Recycling","Lincolnshire","Lincolnshire","East Midlands","Recovery","R04",6,"06 - Metallic wastes","Non-ferrous metal waste and scrap"
"East of England","Suffolk","Suffolk","Mid Suffolk","RP3432WF","Sacker's Metal Recycling Facility EPR/RP3432WF","Sackers Limited","TM1 : Metal Recycling installation",612320,250360,"IP6 0JB","Solid","Hhold/Ind/Com","20 - MUNICIPAL WASTES","Separately collected fractions (except 15 01)","metals","20 01 40","MRS","Metal Recycling","Lincolnshire","Lincolnshire","East Midlands","Recovery","R04",117.38,"06 - Metallic wastes","Mixed metal wastes"
"East of England","Suffolk","Suffolk","Mid Suffolk","71095","Masons Material Reclamation Facility","Viridor Waste Management Limited","A15 : Material Recycling Treatment Facility",611500,250000,"IP6 0NW","Solid","Hhold/Ind/Com","19 - WASTE AND WATER TREATMENT WASTES","Mechanical treatment of waste (for example sorting - crushing - compacting - pelletising) not otherwise specified","plastic and rubber","19 12 04","Treatment","Material Recycling Facility","Lincolnshire","Lincolnshire","East Midlands","Recovery","R03",792.74,"07 - Non-metallic wastes","Plastic wastes"
"East of England","Suffolk","Suffolk","Mid Suffolk","103752","Bolton Brothers Recycling Centre ( M R F)","Bolton Brothers Ltd","A15 : Material Recycling Treatment Facility",612145,249716,"IP6 0SL","Solid","Hhold/Ind/Com","19 - WASTE AND WATER TREATMENT WASTES","Mechanical treatment of waste (for example sorting - crushing - compacting - pelletising) not otherwise specified","paper and cardboard","19 12 01","Treatment","Material Recycling Facility","Lincolnshire","Lincolnshire","East Midlands","Recovery","R03",21.18,"07 - Non-metallic wastes","Paper and cardboard wastes"
"East of England","Suffolk","Suffolk","Mid Suffolk","100175","Debtrac Centre","Sackers Limited","A11 : Household, Commercial & Industrial  Waste Transfer Stn",609700,254010,"IP6 8DJ","Solid","Hhold/Ind/Com","19 - WASTE AND WATER TREATMENT WASTES","Mechanical treatment of waste (for example sorting - crushing - compacting - pelletising) not otherwise specified","plastic and rubber","19 12 04","Transfer","Non-Haz Waste Transfer","Lincolnshire","Lincolnshire","East Midlands","Recovery","R05",13.08,"07 - Non-metallic wastes","Plastic wastes"
"East of England","Suffolk","Suffolk","Mid Suffolk","100175","Debtrac Centre","Sackers Limited","A11 : Household, Commercial & Industrial  Waste Transfer Stn",609700,254010,"IP6 8DJ","Solid","Hhold/Ind/Com","20 - MUNICIPAL WASTES","Separately collected fractions (except 15 01)","discarded electrical and electronic equipment other than those mentioned in 20 01 21, 20 01 23 and 20 01 35","20 01 36","Transfer","Non-Haz Waste Transfer","Lincolnshire","Lincolnshire","East Midlands","Recovery","R05",435.42,"08 - Discarded equipment","Discarded electrical and electronic equipment"
"East of England","Suffolk","Suffolk","East Suffolk","71416","B & B Skip Hire","B & B Skip Hire Limited","A9 : Hazardous Waste Transfer Station",645144,288505,"NR34 7TL","Solid","Hhold/Ind/Com","16 - WASTES NOT OTHERWISE SPECIFIED IN THE LIST","End-of-life vehicles from different means of transport (including off-road machinery) and wastes from dismantling of end-of-life vehicles and vehicle maintenance (except 13 - 14 - 16 06 and 16 08)","end-of-life tyres","16 01 03","Transfer","Haz Waste Transfer","Lincolnshire","Lincolnshire","East Midlands","Recovery","R04",4.4,"07 - Non-metallic wastes","Rubber wastes"
"East of England","Suffolk","Suffolk","East Suffolk","71499","V C Cooke Limited","V C Cooke Limited","A17 : Physico-Chemical Treatment Facility",644141,288496,"NR34 7TQ","Solid","Inert/C+D","17 - CONSTRUCTION AND DEMOLITION WASTES","Gypsum-based construction material","gypsum-based construction materials other than those mentioned in 17 08 01","17 08 02","Treatment","Physical-Chemical Treatment","Lincolnshire","Lincolnshire","East Midlands","Recovery","R05",125.44,"12 - Mineral wastes","Construction and demolition wastes"
"East of England","Suffolk","Suffolk","Ipswich","DP3438AF","Hollywell Waste Oil Treatment Facility  EPR/CB3906FN","Slicker Recycling Ltd","T05 : Physico-chemical treatment installation",617060,243010,"IP3 0BE","Liquid","Hazardous","19 - WASTE AND WATER TREATMENT WASTES","Oil regeneration","aqueous liquid wastes","19 11 03*","Treatment","Physical-Chemical Treatment","Liverpool","Liverpool","North West","Recovery","R13",82.02,"03 - Other chemical wastes","Industrial effluent sludges"
"East of England","Suffolk","Suffolk","West Suffolk","75221","Old Chicory Factory","Murfitts Industries Ltd","A15 : Material Recycling Treatment Facility",572480,286380,"IP27 9AD","Solid","Hhold/Ind/Com","19 - WASTE AND WATER TREATMENT WASTES","Mechanical treatment of waste (for example sorting - crushing - compacting - pelletising) not otherwise specified","plastic and rubber","19 12 04","Treatment","Material Recycling Facility","London","London (WPA Not codeable)","London","Recovery","R05",584.74,"07 - Non-metallic wastes","Plastic wastes"
"East of England","Suffolk","Suffolk","West Suffolk","100301","The Carrops","Scrapco Metal Recycling Ltd","A19 : Metal Recycling Site (Vehicle Dismantler)",569597,269526,"IP28 8LD","Solid","Hhold/Ind/Com","19 - WASTE AND WATER TREATMENT WASTES","Mechanical treatment of waste (for example sorting - crushing - compacting - pelletising) not otherwise specified","ferrous metal","19 12 02","MRS","Car Breaker","London","London (WPA Not codeable)","London","Recovery","R04",2172.72,"06 - Metallic wastes","Ferrous metal waste and scrap"
"East of England","Suffolk","Suffolk","West Suffolk","100301","The Carrops","Scrapco Metal Recycling Ltd","A19 : Metal Recycling Site (Vehicle Dismantler)",569597,269526,"IP28 8LD","Solid","Hazardous","16 - WASTES NOT OTHERWISE SPECIFIED IN THE LIST","Batteries and accumulators","lead batteries","16 06 01*","MRS","Car Breaker","London","London (WPA Not codeable)","London","Recovery","R04",2.76,"08 - Discarded equipment","Discarded machines and equipment components"
"East of England","Suffolk","Suffolk","Mid Suffolk","103752","Bolton Brothers Recycling Centre ( M R F)","Bolton Brothers Ltd","A15 : Material Recycling Treatment Facility",612145,249716,"IP6 0SL","Solid","Hhold/Ind/Com","19 - WASTE AND WATER TREATMENT WASTES","Mechanical treatment of waste (for example sorting - crushing - compacting - pelletising) not otherwise specified","other wastes (including mixtures of materials) from mechanical treatment of wastes other than those mentioned in 19 12 11","19 12 12","Treatment","Material Recycling Facility","London","London (WPA Not codeable)","London","Recovery","R03",97.18,"10 - Mixed ordinary wastes","Sorting residues"
"East of England","Suffolk","Suffolk","Mid Suffolk","100175","Debtrac Centre","Sackers Limited","A11 : Household, Commercial & Industrial  Waste Transfer Stn",609700,254010,"IP6 8DJ","Liquid","Hhold/Ind/Com","20 - MUNICIPAL WASTES","Separately collected fractions (except 15 01)","paint, inks, adhesives and resins other than those mentioned in 20 01 27","20 01 28","Transfer","Non-Haz Waste Transfer","London","London (WPA Not codeable)","London","Recovery","R05",0.6,"02 - Chemical preparation wastes","Off-specification chemical wastes"
"East of England","Suffolk","Suffolk","Mid Suffolk","71297","Papermill Lane","Whip Street Motors Ltd","A19 : Metal Recycling Site (Vehicle Dismantler)",612936,247839,"IP8 4BY","Solid","Hhold/Ind/Com","16 - WASTES NOT OTHERWISE SPECIFIED IN THE LIST","End-of-life vehicles from different means of transport (including off-road machinery) and wastes from dismantling of end-of-life vehicles and vehicle maintenance (except 13 - 14 - 16 06 and 16 08)","non-ferrous metal","16 01 18","MRS","Car Breaker","London","London (WPA Not codeable)","London","Recovery","R04",192,"06 - Metallic wastes","Non-ferrous metal waste and scrap"
"East of England","Suffolk","Suffolk","West Suffolk","71178","Haverhill Recycling And Transfer Station","Anti - Waste Ltd","A13 : Household Waste Amenity Site",566420,244300,"CB9 8QP","Solid","Hhold/Ind/Com","19 - WASTE AND WATER TREATMENT WASTES","Mechanical treatment of waste (for example sorting - crushing - compacting - pelletising) not otherwise specified","wood other than that mentioned in 19 12 06","19 12 07","Transfer","CA Site","Manchester","Manchester","North West","Recovery","R03",43.9,"07 - Non-metallic wastes","Wood wastes"
"East of England","Suffolk","Suffolk","Mid Suffolk","71466","Creeting Road Depot","Mid Suffolk District Council","A9 : Hazardous Waste Transfer Station",605292,258822,"IP14 5AT","Solid","Hazardous","20 - MUNICIPAL WASTES","Separately collected fractions (except 15 01)","fluorescent tubes and other mercury-containing waste","20 01 21*","Transfer","Haz Waste Transfer","Manchester","Manchester","North West","Recovery","R04",0.028,"08 - Discarded equipment","Discarded machines and equipment components"
"East of England","Suffolk","Suffolk","Mid Suffolk","71466","Creeting Road Depot","Mid Suffolk District Council","A9 : Hazardous Waste Transfer Station",605292,258822,"IP14 5AT","User left blank","Hazardous","20 - MUNICIPAL WASTES","Separately collected fractions (except 15 01)","fluorescent tubes and other mercury-containing waste","20 01 21*","Transfer","Haz Waste Transfer","Manchester","Manchester","North West","Recovery","R04",0.025,"08 - Discarded equipment","Discarded machines and equipment components"
"East of England","Suffolk","Suffolk","West Suffolk","MP3937RY","Red Lodge Compost Facility EPR/MP3937RY","Anti-Waste Ltd","T01 : Composting installation",569780,269270,"IP28 8LG","Solid","Hhold/Ind/Com","20 - MUNICIPAL WASTES","Separately collected fractions (except 15 01)","wood other than that mentioned in 20 01 37","20 01 38","Treatment","Composting","Manchester","Manchester","North West","Recovery","R13",361.82,"07 - Non-metallic wastes","Wood wastes"
"East of England","Suffolk","Suffolk","West Suffolk","403989","West Suffolk Operational Hub","West Suffolk Council","A9 : Hazardous Waste Transfer Station",586212,266365,"IP31 1FE","Solid","Hhold/Ind/Com","20 - MUNICIPAL WASTES","Separately collected fractions (except 15 01)","wood other than that mentioned in 20 01 37","20 01 38","Transfer","Haz Waste Transfer","Manchester","Manchester","North West","Transfer (D)","D13",87.76,"07 - Non-metallic wastes","Wood wastes"
"East of England","Suffolk","Suffolk","Mid Suffolk","RP3432WF","Sacker's Metal Recycling Facility EPR/RP3432WF","Sackers Limited","TM1 : Metal Recycling installation",612320,250360,"IP6 0JB","Solid","Hhold/Ind/Com","16 - WASTES NOT OTHERWISE SPECIFIED IN THE LIST","End-of-life vehicles from different means of transport (including off-road machinery) and wastes from dismantling of end-of-life vehicles and vehicle maintenance (except 13 - 14 - 16 06 and 16 08)","non-ferrous metal","16 01 18","MRS","Metal Recycling","Manchester","Manchester","North West","Recovery","R04",54.914,"06 - Metallic wastes","Non-ferrous metal waste and scrap"
"East of England","Suffolk","Suffolk","East Suffolk","70800","Lowestoft","Anti - Waste Ltd","A9 : Hazardous Waste Transfer Station",652667,289441,"NR33 7NF","Solid","Hhold/Ind/Com","20 - MUNICIPAL WASTES","Separately collected fractions (except 15 01)","wood other than that mentioned in 20 01 37","20 01 38","Transfer","Haz Waste Transfer","Manchester","Manchester","North West","Recovery","R03",1725.26,"07 - Non-metallic wastes","Wood wastes"
"East of England","Suffolk","Suffolk","Mid Suffolk","71095","Masons Material Reclamation Facility","Viridor Waste Management Limited","A15 : Material Recycling Treatment Facility",611500,250000,"IP6 0NW","Solid","Hhold/Ind/Com","19 - WASTE AND WATER TREATMENT WASTES","Mechanical treatment of waste (for example sorting - crushing - compacting - pelletising) not otherwise specified","plastic and rubber","19 12 04","Treatment","Material Recycling Facility","Medway","Medway","South East","Recovery","R03",47.22,"07 - Non-metallic wastes","Plastic wastes"
"East of England","Suffolk","Suffolk","West Suffolk","71178","Haverhill Recycling And Transfer Station","Anti - Waste Ltd","A13 : Household Waste Amenity Site",566420,244300,"CB9 8QP","Solid","Hhold/Ind/Com","19 - WASTE AND WATER TREATMENT WASTES","Mechanical treatment of waste (for example sorting - crushing - compacting - pelletising) not otherwise specified","wood other than that mentioned in 19 12 06","19 12 07","Transfer","CA Site","Middlesbrough","Middlesbrough","North East","Recovery","R03",286.84,"07 - Non-metallic wastes","Wood wastes"
"East of England","Suffolk","Suffolk","West Suffolk","71178","Haverhill Recycling And Transfer Station","Anti - Waste Ltd","A13 : Household Waste Amenity Site",566420,244300,"CB9 8QP","Solid","Hhold/Ind/Com","20 - MUNICIPAL WASTES","Separately collected fractions (except 15 01)","wood other than that mentioned in 20 01 37","20 01 38","Transfer","CA Site","Middlesbrough","Middlesbrough","North East","Recovery","R05",30.2,"07 - Non-metallic wastes","Wood wastes"
